City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,virginia,37.5481,-77.4467,21.17,38,100,5.66,US,1742427545
83,bredasdorp,-34.5322,20.0403,20.14,79,20,1.81,ZA,1742427546
84,sinop,41.7711,34.8709,-4.11,98,96,1.8,TR,1742427547
85,wailua homesteads,22.0669,-159.378,24.51,82,75,7.72,US,1742427548
86,dali,25.7,100.1833,6.47,83,93,1.52,CN,1742427549
87,lauro de freitas,-12.8944,-38.3272,28.01,74,40,5.14,BR,1742427268
88,psachna,38.5833,23.6333,2.14,62,4,2.56,GR,1742427552
89,plastun,44.7561,136.2939,1.95,50,58,0.97,RU,1742427553
90,college,64.8569,-147.8028,-3.63,45,40,3.6,US,1742427554
91,vila velha,-20.3297,-40.2925,23.97,88,0,1.03,BR,1742427555
92,mil'kovo,55.6078,37.7956,2.97,63,34,4.28,RU,1742427556
93,smithers,54.7804,-127.1743,4.18,65,100,4.12,CA,1742427558
94,uturoa,-16.7333,-151.4333,28.37,74,22,4.15,PF,1742427559
95,ketchikan,55.3422,-131.6461,5.26,91,100,2.06,US,1742427560
96,cadale,2.7603,46.3222,27.19,79,85,5.7,SO,1742427561
97,mejit,10.2753,170.8646,26.83,78,67,9.27,MH,1742427562
98,st. john's,47.5649,-52.7093,-0.02,95,100,5.81,CA,1742427540
99,quimili,-27.6333,-62.4167,26.71,26,0,4.25,AR,1742427403
100,queenstown,-31.8976,26.8753,16.63,61,0,0.77,ZA,1742427566
101,tralee,52.2704,-9.7026,6.35,97,55,3.03,IE,1742427567
102,huarmey,-10.0681,-78.1522,23.18,78,97,4.24,PE,1742427568
103,camiri,-20.05,-63.5167,21.19,82,67,0.94,BO,1742427570
104,baltasi,56.3462,50.2062,-4.58,89,64,6.77,RU,1742427571
105,ma'ili,21.4219,-158.1803,27.01,70,100,5.14,US,1742427572
106,aasiaat,68.7098,-52.8699,-9.94,79,100,5.2,GL,1742427573
107,hadibu,12.65,54.0333,25.29,74,58,3.17,YE,1742427574
108,east london,-33.0153,27.9116,22.88,81,0,3.73,ZA,1742427576
109,rio gallegos,-51.6226,-69.2181,13.03,41,0,12.86,AR,1742427507
110,kapuskasing,49.4169,-82.4331,2.0,64,100,2.57,CA,1742427578
111,isafjordur,66.0755,-23.124,2.43,95,100,5.11,IS,1742427579
112,san luis de la loma,17.2706,-100.8939,28.07,53,37,5.33,MX,1742427580
113,ghormach,35.7306,63.7826,16.81,23,0,2.75,AF,1742427581
114,pangani,-5.4333,38.9667,25.89,87,79,2.63,TZ,1742427582
115,veraval,20.9,70.3667,22.78,61,0,5.2,IN,1742427584
116,jatiroto,-7.8833,111.1167,25.19,87,32,0.67,ID,1742427585
117,bethel,41.3712,-73.414,10.77,54,50,2.1,US,1742427586
118,steamboat springs,40.485,-106.8317,-0.92,54,75,3.6,US,1742427587
119,igarka,67.4667,86.5833,-18.13,98,98,3.93,RU,1742427588
120,happy valley-goose bay,53.3168,-60.3315,-4.83,54,20,2.57,CA,1742427589
121,haiku-pauwela,20.9219,-156.3051,24.03,77,40,12.07,US,1742427590
122,castrovillari,39.8203,16.2123,3.08,71,0,0.95,IT,1742427592
123,kangding,30.0513,101.9603,-2.64,93,94,1.44,CN,1742427593
124,baruun-urt,46.6806,113.2792,2.25,64,75,5.07,MN,1742427594
125,birni n konni,13.7956,5.2553,27.39,6,100,4.9,NE,1742427595
126,monrovia,6.3005,-10.7969,25.53,87,99,0.88,LR,1742427429
127,veinticinco de mayo,-35.4323,-60.1727,22.77,84,1,1.65,AR,1742427537
128,porto seguro,-16.4497,-39.0647,27.29,83,20,4.12,BR,1742427598
129,okha,53.5739,142.9478,-8.22,90,98,2.99,RU,1742427600
130,nikolayevsk-on-amure,53.1406,140.73,-5.37,85,69,1.3,RU,1742427601
131,klyuchi,52.2667,79.1667,0.33,75,60,5.49,RU,1742427602
132,newman,37.3138,-121.0208,17.25,54,99,1.79,US,1742427552
133,gurlan,41.8447,60.3919,19.16,21,100,2.64,UZ,1742427605
134,badger,64.8,-147.5333,-3.69,53,75,3.6,US,1742427606
135,afaahiti,-17.75,-149.2833,26.61,76,11,3.32,PF,1742427608
136,sao jose da coroa grande,-8.8978,-35.1478,26.72,77,8,4.38,BR,1742427609
137,jiexiu,37.0244,111.9125,8.28,25,0,3.28,CN,1742427610
138,nuuk,64.1835,-51.7216,-8.66,79,75,1.54,GL,1742427611
139,port mathurin,-19.6833,63.4167,27.55,77,76,8.24,MU,1742427612
140,puerto aysen,-45.4,-72.7,13.08,99,100,2.35,CL,1742427613
141,keflavik,64.0049,-22.5624,7.24,93,100,12.86,IS,1742427615
142,kourou,5.1552,-52.6478,24.7,85,27,3.03,GF,1742427616
143,kristiansund,63.1115,7.732,5.36,56,100,3.09,NO,1742427617
144,arroyo de la luz,39.4851,-6.584,14.45,53,97,8.62,ES,1742427618
145,christchurch,-43.5333,172.6333,19.62,63,75,2.06,NZ,1742427509
146,puerto ayora,-0.7393,-90.3518,27.53,93,54,1.79,EC,1742427620
147,kaitong,44.8135,123.15,7.48,32,49,6.36,CN,1742427621
148,tura,25.5198,90.2201,19.45,30,0,2.18,IN,1742427623
149,zheleznogorsk-ilimskiy,56.5768,104.1217,0.22,99,100,1.44,RU,1742427624
150,khovd,48.0056,91.6419,-7.91,74,1,1.05,MN,1742427625
151,kuta,-8.7233,115.1723,27.97,89,20,5.14,ID,1742427626
152,amurzet,47.6967,131.0981,-2.97,96,93,1.46,RU,1742427627
153,jayapura,-2.5333,140.7,27.66,89,88,2.09,ID,1742427469
154,margaret river,-33.95,115.0667,15.0,61,4,2.62,AU,1742427629
155,ribeira brava,32.65,-17.0667,15.95,73,25,8.25,PT,1742427631
156,toliara,-23.35,43.6667,23.88,69,56,4.55,MG,1742427632
157,vallegrande,-18.4897,-64.1069,15.81,94,96,1.77,BO,1742427633
158,port elizabeth,-33.918,25.5701,23.51,66,0,1.79,ZA,1742427634
159,yerofey pavlovich,53.9667,121.9667,-2.94,81,90,1.4,RU,1742427635
160,merizo village,13.2658,144.6691,29.43,82,83,6.97,GU,1742427636
161,shamil'kala,42.6858,46.8639,2.56,95,100,1.44,RU,1742427637
162,jumla,29.2747,82.1838,2.78,30,0,3.07,NP,1742427543
163,saudarkrokur,65.7461,-19.6394,2.69,83,100,5.58,IS,1742427640
164,enewetak,11.3474,162.3373,26.67,82,100,8.83,MH,1742427641
165,talcahuano,-36.7167,-73.1167,14.82,82,0,4.63,CL,1742427642
166,bengkulu,-3.8004,102.2655,24.02,76,74,1.77,ID,1742427643
167,tuy hoa,13.0833,109.3,20.32,87,100,3.78,VN,1742427645
168,pangai,-19.8,-174.35,29.06,79,40,4.63,TO,1742427646
169,katiola,8.1333,-5.1,25.74,71,90,2.89,CI,1742427647
170,zhosaly,45.4878,64.0781,15.22,38,100,5.05,KZ,1742427648
171,lamarque,-39.423,-65.7021,27.78,38,33,2.88,AR,1742427649
172,naze,28.3667,129.4833,11.51,61,100,5.02,JP,1742427650
173,tan-tan,28.438,-11.1032,16.36,74,0,3.4,MA,1742427651
174,sedhiou,12.7081,-15.5569,24.22,54,14,2.37,SN,1742427653
175,sanctuary point,-35.1114,150.629,26.42,57,30,4.66,AU,1742427654
176,namtsy,62.7161,129.6658,-16.28,91,100,4.42,RU,1742427655
177,kerema,-7.9631,145.7785,27.73,80,94,1.59,PG,1742427656
178,fort mcmurray,56.7268,-111.381,3.77,41,100,2.06,CA,1742427657
179,queimadas,-10.9783,-39.6264,26.29,63,38,7.02,BR,1742427658
180,howard springs,-12.497,131.047,25.95,100,98,1.24,AU,1742427659
181,sidi ifni,29.3797,-10.173,16.73,71,2,3.73,MA,1742427661
182,rio grande,-32.035,-52.0986,21.08,76,0,3.86,BR,1742427662
183,vadso,70.0744,29.7487,-5.91,93,100,7.2,NO,1742427663
184,jalai nur,49.45,117.7,1.5,85,72,5.56,CN,1742427664
185,itoman,26.1247,127.6694,16.21,50,75,4.63,JP,1742427666
186,kill devil hills,36.0307,-75.676,11.01,64,0,3.09,US,1742427667
187,vila franca do campo,37.7167,-25.4333,13.23,79,33,10.75,PT,1742427668
188,majano,46.1875,13.0616,3.95,78,4,1.28,IT,1742427669
189,novosergiyevka,52.0934,53.6528,-0.89,88,100,2.58,RU,1742427670
190,cockburn town,21.4612,-71.1419,23.39,60,0,7.72,TC,1742427672
191,port macquarie,-31.4333,152.9167,22.82,79,96,0.89,AU,1742427673
192,ettlingen,48.9409,8.4076,3.81,68,2,1.31,DE,1742427674
193,kharkhorin,47.1975,102.8238,0.55,42,4,2.7,MN,1742427675
194,vilyuysk,63.7553,121.6247,-8.72,95,100,2.86,RU,1742427676
195,saint-joseph,-21.3667,55.6167,24.21,83,82,3.19,RE,1742427677
196,luorong,24.4058,109.6086,16.18,44,90,2.36,CN,1742427679
197,molochnyy,68.8539,33.0205,-7.69,86,0,2.0,RU,1742427680
198,stanley,54.868,-1.6985,-0.83,100,11,0.0,GB,1742427681
199,masterton,-40.9597,175.6575,18.16,57,99,5.09,NZ,1742427682
200,leava,-14.3,-178.1667,28.56,74,47,4.2,WF,1742427683
201,mount isa,-20.7333,139.5,24.87,100,100,4.63,AU,1742427685
202,puerto baquerizo moreno,-0.9,-89.6,27.05,74,54,3.71,EC,1742427686
203,valparaiso,-33.0393,-71.6273,18.13,79,100,2.06,CL,1742427415
204,puerto cabezas,14.0351,-83.3888,27.98,89,40,3.09,NI,1742427688
205,egilsstadir,65.2653,-14.3948,1.95,75,0,1.54,IS,1742427689
206,rezekne,56.5,27.3167,-0.44,93,62,3.18,LV,1742427690
207,bel ombre,-4.6167,55.4167,27.91,89,40,3.6,SC,1742427691
208,shiprock,36.7855,-108.687,7.02,16,0,7.64,US,1742427693
209,lihue,21.9789,-159.3672,24.85,69,75,7.72,US,1742427423
210,san antonio de pale,-1.4014,5.6325,27.66,74,75,3.09,GQ,1742427695
211,hamilton,39.1834,-84.5333,19.97,58,100,7.2,US,1742427593
212,veigne,47.2856,0.7408,9.52,72,0,2.06,FR,1742427697
213,karachayevsk,43.774,41.9142,-3.32,93,100,1.89,RU,1742427698
214,avarua,-21.2078,-159.775,30.03,66,75,3.6,CK,1742427699
215,mitsamiouli,-11.3847,43.2844,27.97,74,97,1.93,KM,1742427700
216,palikir - national government center,6.9248,158.1611,25.52,91,75,5.14,FM,1742427702
217,udaipur,24.5712,73.6918,19.5,27,0,2.62,IN,1742427703
218,hasaki,35.7333,140.8333,6.67,84,100,6.14,JP,1742427705
219,itapecuru mirim,-3.3925,-44.3586,24.49,94,95,1.63,BR,1742427706
220,sarrebourg,48.7333,7.05,6.31,72,20,1.74,FR,1742427707
221,olyokminsk,60.3736,120.4264,-3.95,84,100,7.03,RU,1742427708
222,flin flon,54.7682,-101.865,-3.09,50,20,2.57,CA,1742427709
223,anadyr,64.75,177.4833,-27.72,75,20,2.0,RU,1742427711
224,arraial do cabo,-22.9661,-42.0278,23.92,94,75,2.57,BR,1742427707
225,bandarbeyla,9.4942,50.8122,26.43,72,99,4.11,SO,1742427713
226,guerrero negro,27.9769,-114.0611,24.62,19,0,2.88,MX,1742427714
227,saint-pierre,-21.3393,55.4781,24.82,78,0,2.06,RE,1742427715
228,scarborough,54.2797,-0.4044,4.35,48,47,2.16,GB,1742427716
229,krasnyy yar,46.5331,48.3456,4.81,64,100,3.88,RU,1742427718
230,howrah,22.5892,88.3103,27.0,89,20,4.12,IN,1742427719
231,blenheim,-41.516,173.9528,20.29,61,25,7.16,NZ,1742427720
232,winchester,51.0651,-1.3187,9.57,83,100,0.51,GB,1742427566
233,preobrazheniye,42.9019,133.9064,3.47,54,48,4.67,RU,1742427722
234,chegdomyn,51.1167,133.0167,-7.7,88,100,0.77,RU,1742427723
235,ajdabiya,30.7554,20.2263,12.52,50,0,7.32,LY,1742427725
236,joure,52.9657,5.803,7.99,1,4,1.79,NL,1742427726
237,prineville,44.2999,-120.8345,9.99,41,20,8.23,US,1742427727
238,iskateley,67.6803,53.1512,-4.41,94,100,6.17,RU,1742427728
239,hukumati azrah,34.1736,69.6457,-0.27,39,0,0.76,AF,1742427729
240,bogorodskoye,56.55,37.8833,-1.09,85,12,4.83,RU,1742427732
241,magong,23.5654,119.5863,17.9,65,5,11.52,TW,1742427733
242,ugoofaaru,5.6667,73.0,28.16,77,68,4.68,MV,1742427734
243,richards bay,-28.783,32.0377,20.27,88,3,3.05,ZA,1742427735
244,castillos,-34.1667,-53.8333,18.89,82,29,2.28,UY,1742427736
245,rifle,39.5347,-107.7831,4.33,26,75,6.17,US,1742427737
246,monte argentario,42.4345,11.1195,4.88,93,2,2.06,IT,1742427739
247,bardai,11.65,7.2333,24.43,4,99,3.32,NG,1742427740
248,constantia,44.1833,28.65,2.61,68,53,3.88,RO,1742427741
249,uchaly,54.2996,59.4521,0.15,99,100,0.45,RU,1742427742
250,shuangjiang,26.1547,109.7138,10.14,71,5,0.75,CN,1742427743
251,nasir,15.5894,32.5634,28.98,14,0,5.26,SD,1742427744
252,iwon-up,40.3231,128.6553,5.84,44,5,1.38,KP,1742427745
253,fale old settlement,-9.3852,-171.2468,28.41,72,52,2.43,TK,1742427747
254,barra de santo antonio,-9.4047,-35.5072,26.69,78,16,5.21,BR,1742427748
255,tutong,4.8,114.65,26.8,88,100,4.78,BN,1742427749
256,sault ste. marie,46.5168,-84.3333,2.16,87,100,4.12,CA,1742427738
257,tamandare,-8.7597,-35.1047,26.49,78,8,3.81,BR,1742427751
258,kone,-21.0595,164.8658,28.42,68,91,2.04,NC,1742427752
259,dudinka,69.4058,86.1778,-19.76,98,86,4.97,RU,1742427753
260,nelson bay,-32.7167,152.15,25.62,67,92,3.13,AU,1742427755
261,carnarvon,-24.8667,113.6333,24.72,54,0,9.61,AU,1742427756
262,ust-nera,64.5667,143.2,-22.39,93,62,0.47,RU,1742427757
263,zabol,32.25,67.25,8.83,35,1,0.73,AF,1742427758
264,taco pozo,-25.6167,-63.2833,25.19,47,0,2.47,AR,1742427759
265,awjilah,29.1081,21.2869,13.78,46,0,6.49,LY,1742427760
266,fort bragg,35.139,-79.006,24.91,20,0,2.57,US,1742427761
267,port saint john's,-31.6229,29.5448,22.17,89,6,4.27,ZA,1742427763
268,sur,22.5667,59.5289,23.15,41,0,1.7,OM,1742427764
269,hami,42.8,93.45,6.6,22,0,3.78,CN,1742427765
